'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'1769453334ea522';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Die Vorlesung war sehr gut aufgebaut. Man weiß was einem im Studium erwartet. Frau Pichler bemühte sich um den Unterricht sehr.'
'1769453334ea522';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Ich habe keine Verbesserungsvorschläge leider ist das Semester schon vorbei.'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'-'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Art wie vorgetragen wurde
alles wurde erklärt bis man es verstanden hat
man konnte nachfragen wenn man etwas nicht verstanden hat
'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Interessant vorgetragen'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Genaue Besprechung der Zitier Richtlinien, welche sehr wichtig für unsere Arbeit sind. Das Lernen der Geschichte und Entwicklung der romanischen Sprachen.'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Insgesamt betrachtet, bietet die LV einen guten Einstieg ins Studium.'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Es wäre m.E. sinnvoll, den Themenkomplex ''Wissenschaftliches Schreiben'' nicht in diese LV hineinzudrücken, sondern dazu eine separate LV anzubieten. Dann könnte man sich in dieser Einführung auf Inhaltliches konzentrieren, dieses könnte tiefergehend beleuchtet werden und die Literaturwissenschaft käme nicht zu kurz.'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'keine'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Wenn man eine E-Mail schreibt (Fragen etc.) , bekommt man oft erst nach einer bis zwei Wochen eine Rückmeldung. '
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'No material was available on moodle until the very last moment.'
'c9bead9b4d519de';'16W';'VP';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:';'n/a';'-2';'-1';'The questionnaire is fine.'
'a57d2b3f23a4a96';'16W';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Super interessante Themen
sehr gut vorgetragen'
'a57d2b3f23a4a96';'16W';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Die ganze LV war, meiner Meinung nach, ein voller Erfolg!!
Man hat einen guten Überblick über die romanische Sprachwissenschaft bekommen!!!
Kompliment auch an die Dozentin, sie hat es geschafft, dass jeder dem Kurs folgen konnte und sie hat auch die komplizierten Themen für Alle verständlich, erklärt!!'
'a57d2b3f23a4a96';'16W';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'Es war eine sehr interessante Lehrveranstaltung und gab einem einen sehr guten Einblick in die Sprachwissenschaft. Super Literaturverweise passend zur VO.'
'a57d2b3f23a4a96';'16W';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV hat mir besonders gut gefallen:';'n/a';'-2';'-1';'- gute Unterrichtsmethode
- gute Erklärungen, interessanter Stoff
