'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'cdaf21ca69ab9a0';'20S';'SE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die anderen Studierenden und ihre jeweiligen Arbeiten kennenzulernen und damit möglicherweise Ideen für die eigene Arbeit zu finden.
Feedback von Professor*innen und Studienkolleg*innen mit einer Außensichtweise zu bekommen.'
'cdaf21ca69ab9a0';'20S';'SE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine - war sehr gut organisiert und trotz kleinerer technischer Probleme sehr gut umgesetzt. '
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Vorlesung mit viele Beispiele passend zum Stoff'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Vortragende ist sehr komptent und kann den Stoff sehr interessant und vor allem verständlich vortragen.'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die hohe Kompetenz von Frau Dr. Hattenberger und ihre Begeisterung für die Thematik!

Anhand der gebrachten Beispiele wurden alle Themen super erklärt!

Danke auch für die tolle Umsetzung der online Lehrveranstaltungen! Schade finde ich nur, dass ich Frau Dr. Hattenberger nicht persönlich im Lehrsaal erleben durfte!'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Es wird viel auf praktische Fälle Bezug genommen.'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Das alles sehr gut mit Beispielen erklärt wurde und dadurch alles sehr verständlich war '
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'gute Vortragsweise; Abwechslung zwischen Stoff und Fallbeispielen; Aufzeichnung der Lehrveranstaltung ermöglichen flexibles ansehen'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'der Stoff wird sehr gut erklärt wird!'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Aufgrund der derzeitigen Corona Krise werden die Vorlesungen online vorgetragen. Ein großes Lob an die Vortragende. Die Inhalte werden sehr gut vermittelt und erklärt. Treten Fragen auf werden diese unmittelbar von der Vortragenden beantwortet. Besonders gut haben mir die Beispiele gefallen die Frau 
 Prof.Hattenberger zu den unterschiedlichen Themengebieten einbringt. Jede Einheit gestaltete sich sehr interessant und man mochte stets sehr gerne zuhören.'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Sehr interessant gestaltete VO. Dr. Hattenberger schafft es das Thema interessant zu präsentieren. '
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Sehr guter Überblick über die Themen
