'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Eigenkreation und das selbständige Arbeiten an einem Thema. Sowie auch eine tolles Feedback zum Thema Präsentieren. '
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Guter Einblick in beide Sparten des Studiums. (Technik und Wirtschaft)

Aufbau der LV war gut.'
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Vorstellrunde, dass man sich gegenseitig im 1 Semester besser kennen lernt. Die zusammenarbeit untereinander. '
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Wenn es wieder zu einem Onlineunterricht kommen sollte, mehr die Interaktion mit den Studenten fördern. '
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Zu Beginn war es ein wenig "ins kalte Wasser geworfen", dass die Vorlaufzeit der ersten Vorträge nur eine Woche betrug.

Im Nachhinein gesehen aber trotzdem genug Zeit einen guten Vortrag vorzubereiten.'
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Eine Beispiel Präsentation, damit man sich daran orendieren kann was man jetzt auf der Uni anders machen sollte als es in der Schule gewöhnt war. '
'734706b1dcd260e';'20W';'VC';1.0;0.5;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'Finde den Fragebogen angemessen und gut. '
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Course is interactive. I learnt a lot from the course, and it improves my knowledge in the field of mobile communication networks. '
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'I liked Professor''s enthusiasm and approach to topics. I liked that he provided us with the whole concept of Mobile Communications and not only technological terms and mathematical formulas. I also liked the comparison of theory and practice and that he provided us with practical examples. He made clear of many things which I''ve learnt at my Bachelor, so thank you for that.'
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'The lecture was perfectly structured. The recordings of the lecture were a great  asset and made the learning process much more easy. The slides were well done. The professor was very motivated and has taken serious effort in the lecturing process. One of the most interesting parts were the projects. I really enjoyed the statistical representativity aspect of the projects, which is often ignored in other lectures. '
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'very nice slides, well structured, well explained and very interesting topics'
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'This is one of the few lectures, where there is not really anything to complain about.'
'58969f08df6868e';'20W';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'I firmly believe that I would finish this course this semester. Since it was conducted online because of the corona Pandemic, I have not seen differently than classroom teaching. Professor made recorded sessions with a more thoughtful way. I wish and firmly believe everyone will pass the Mobile Communication course in this 2020 Winter semester. '
'8b510b179a54e02';'20W';'SÜ';5.0;5.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Hannes und Tina.'
'8b510b179a54e02';'20W';'SÜ';5.0;5.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Werners Unterricht war nutzlos.'
'8dc2fecf7d9d75e';'20W';'SÜ';5.0;5.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'die Kommunikation auch mit anderen Schüler. Das ist sehr gut für die Sprache und Entwicklung. '
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die kompetente Darstellung philosophischer Fragen - interessenfördernd - und, dass philosophischen Fragen, welche im Zuge der LV aufgetreten sind, genügend Zeit beigemessen wurde, diese entsprechend und umfassend zu behandeln. Der Zugang zur Philosophie wurde dadurch sehr positiv besetzt gefördert. '
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Hr. Weiß geht mit einer eigenen Perspektive an die Philosophie und ihre Geschichte heran, wie es in diesem Fach geboten ist, ohne aber andere Inhalte auszulassen.'
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Themenauswahl und dass wir uns sehr intensiv mit den Themen auseinandergesetzt haben, sodass sie gut diskutiert und verstanden werden konnten. 

Das Tutorium hat mir besonders gut gefallen und Juliana hat sich sehr um uns bemüht. Sie hat sehr, sehr viel Wissen über Philosophie, sodass wir sie alles fragen konnten. Sie konnte immer alles gut erklären und hat uns sehr weitergeholfen. Durch das Tutorium konnte ich viele Unsicherheiten abbauen und sehr viel lernen. Danke Juliana dafür. '
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'guter Überblick und Einblick in die Philosophie'
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'gute Einführung in die Thematik und ins Studium an sich'
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die ausgewählten Themen und Zitate waren sehr interessant
Die Geschwindigkeit ist angemessen.
Das Engagement und die Untersützung der Tutorin ist super
Anregung zur Diskussion im Tutorium.
Bereitschaft des Vortragenden auf außergewöhnliche Fragen einzugehen.'
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Wir konnten leider knapp über die Hälfte der vorgesehenen Lerninhalte durcharbeiten! 
Das empfinde ich als sehr schade, weil für sicherlich wesentliches Wissen keine Zeit war. '
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Bei den Versuchen Inhalte zu erklären, wiederholt sich der Vortragende oft und bringt verschiedene Blickwinkel ein. Manchmal vertauscht er dann Worte und korrigiert sich selbst. Das hat mich oft verwirrt.
Das Niveau der Gruppe war sehr unterschiedlich, daher wäre es hilfreich bei gedanklichen Exkursen oder Antworten auf außergewöhnliche Fragen, die sehr ins Detail gehen einen kurzen Hinweis zu geben.'
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'keine '
'ea1dd3513edff01';'20W';'UE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'sehr faire Handhabe durch den Lockdown!!!!!'
'bc7e6bd2a64a097';'20W';'KS';2.0;5.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Interaktion zwischen Studierenden und Lehrpersonen
angenehmer Kurs -> sympathische Professoren
'
'bc7e6bd2a64a097';'20W';'KS';2.0;5.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'zu viel Theorie --> lieber Fokus auf die Exkursion selbst
unsicherer Ablauf und viel Spontanität aufgrund der Corona-Krise
viel Aufwand
Studierenden werden oft alleine gelassen mit den Angaben
Aufträge sollen pünktlich abgegeben werden, jedoch folgt kein Feedback (Unsicherheit für Exkursion tritt auf)'
'609ce71a40648e5';'20W';'SE';2.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Tolle Einblicke in großartige Ausstellungen
Kopmetenz und Offenheit der Vortragenden
'
'609ce71a40648e5';'20W';'SE';2.0;6.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Ich finde die Einheiten waren etwas langwierig. Auch hätte ich es besser gefunden, wenn nicht nur hauptsächlich ein Vortrag der Lehrenden stattfindet, sondern dass es auch interaktive Übungen und Gruppenarbeiten während den Einheiten gibt, damit es interaktiver gestaltet ist.'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Folien werden zur Verfügung gestellt
wöchentliches Meeting'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Themen waren interessant aufbereitet, so war ich, obwohl keine Anwesenheitspflicht bestand, immer anwesend'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die LV-Inhalte wurden relativ verständlich vermittelt und das Klima während der Veranstaltung war immer sehr entspannt und angenehm.'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Klare Strukturierung der Lv und der Inhalte'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'der strukturierte Aufbau der LV'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Themen werden sehr interessant gelehrt und mit möglichst viel Praxisbeispielen ergänzt.'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Folien sind unstrukturiert --> sagen nicht viel aus
Professor verspricht vertonte Foliensätze hochzuladen, bis dato (letzter Termin) fehlt davon jede Spur
Professor sagt nicht eindeutig, wann der erste Prüfungstermin stattfindet --> eventuell nächste Woche oder doch Anfang März --> wann soll dafür gelernt werden, wenn wir nicht einmal eine Woche vor dem möglichen Prüfungstermin nicht Bescheid bekommen? Studierende müssen sich alle Prüfungstermine einteilen, weswegen sie nicht spontan in einer Woche eine Prüfung schreiben können!'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'An der Lehrveranstaltung hat mir persönlich grundlegend alles gefallen. Leider habe ich es schade und bedenkenswert gefunden, dass die angesetzte Prüfung Ende Jänner kurzfristig abgesagt wurde. Da ich mich schon im intensiven Lernprozess befand, musste ich einiges umdisponieren. '
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Vorbereitung durch das Porfolio auf Prüfung und weiteres Studium'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'- Portfolio, da man da man die Lerninhalte darin nochmal persönlich reflektiert

'
