'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'3cdd243b0617522';'21S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'die lesson und learning studies - das ist wirklich ein ganz interessantes Thema und war absolut neu für mich.'
'3cdd243b0617522';'21S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Dr. Hanfstingl ist eine wirklich gute Vortragende, die es ausgezeichnet versteht, den Stoff mit vielen Praxisbeispielen zu versehen und ihn ausgezeichnet aufbereitet den Studierenden nahe bringt. Es war eine wirklich schöne Interaktion mittels Wortmeldungen und über den  Chat möglich. Ohnehin hat mich das Themengebiet wirklich sehr interessiert. Top!! '
'2080edb040e2ef5';'21S';'PV';1.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Gemeinsamer Wissensaustausch! Immer wieder interessante Neuanregungen für das eigene Projekt…! '
'2080edb040e2ef5';'21S';'PV';1.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'individuelle Beratung

'
'2080edb040e2ef5';'21S';'PV';1.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'---'
'2080edb040e2ef5';'21S';'PV';1.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'---'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die natürliche und freundliche Art der Professorin, sowie die zahlreichen Praxisbeispiele mit SPSS.'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Es wird immer auf Anregungen und offene Fragen eingegangen, die LV wird geblockt abgehalten - dadurch vergisst man nicht alles so schnell und die Prüfung folgt gleich am Ende der Blöcke, somit kann man das Erlernte gleich anwenden; die LV-Leiterin geht auf jede Frage gut ein und erklärt so oft bis es jeder verstanden hat; angenehme Geschwindigkeit beim Bearbeiten des Stoffes, kann die LV bei Frau Thomas nur weiterempfehlen'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Professorin ist wirklich toll! Sie erklärt alles ganz gut und sie wiederholt alles bis man den Stoff versteht. '
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'LV-Leiterin erklärt ruhig und sehr gut.
Sie geht auf die Fragen der Studierenden sehr gut ein und sie gibt Fragemöglichkeiten.
Trotz schwieriger und etwas trockener Thematik, gestaltet die LV Leiterin die LV sehr einladend.
'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Fr. Prof. Thomas gestaltet die Datenanalyse so einfach wie möglich, erklärt die Abläufe verständlich und unterstützt die Studierenden so gut es Ihr über das Online-Format möglich ist. Ein sehr gut aufgebautes Seminar! Top! '
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Flexibilität/Kompetenz der LV- Leitung, '
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine, alles top! '
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'gibt keine :)'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Die online Prüfung war sehr stressig von der Zeit, da alles extra angeführt werden musste. Eine Stunde war für mich sehr knapp ich wurde grad und grad fertig, mit eineinhalb Stunden Zeit hätte ich noch Zeit gehabt zum Durchlesen. Gesamt war die Prüfung schaffbar.'
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'Wie gesagt, eine sehr gute LV. Und der Fragebogen war auch gut. '
'c42c9b3d506100f';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'Danke für das tolle Seminar und die super schelle Benotung. Sie sind eine tolle Lehrperson!'
'da51e0a32127c7b';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Der pragmatische Zugang und darauf aufbauende anwendungsbezogene Inhalt der Lehrveranstaltung. Der subjektiv Erfolgskurs gegenüber der Vorlesung im Fach: "Quantitative Verfahren in der empirischen Sozialforschung" war vergleichsweise hoch. '
'da51e0a32127c7b';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Fragen werden ausführlich und gut beantwortet. Hr. Dr. Müller ist sehr geduldig, auch wenn man Inhalte nicht „checkt“. Wenn schon Quanti, dann diese LV ;)'
'da51e0a32127c7b';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'die entspannte, lockere und humorvolle Art von Herrn Prof. Müller. Quanti macht Spass bei ihm und fühlt sich nicht trocken und nach Pflicht an. Dank ausführlicher Erklärungen und Übungsphasen versteht man den Stoff und nimmt auch wirklich was mit davon. Auch toll und rücksichtsvoll an Corona angepasst, dass per Zoom nicht so viel und intensiv Stoff vermittelt werden kann wie im live Unterricht. '
'da51e0a32127c7b';'21S';'PS';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Herr Müller hält die Lv äußerst kurzweilig und erklärt bzw. wiederholt den Stoff sehr gut. Mir hat Statistik viel Spaß bereitet'
