Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Das ist der Fragetext 1,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 2,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 3,,unknown,not analyzed,
Das ist der Fragetext 4,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 5,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 6,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 7,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 8,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 9,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 10,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 11,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 12,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 13,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 14,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 15,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 16,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 17,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 18,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 19,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 20,,unknown,not analyzed,
Das ist der Fragetext 21,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 22,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 23,,unknown,not analyzed,
Das ist der Fragetext 24,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 25,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 26,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 27,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 28,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 29,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 30,,unknown,not analyzed,
Das ist der Fragetext 31,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 32,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 33,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 34,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 35,,unknown,not analyzed,
Das ist der Fragetext 36,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 37,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 38,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 39,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 40,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 41,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 42,,unknown,not analyzed,
Das ist der Fragetext 43,,unknown,not analyzed,
Das ist der Fragetext 44,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 45,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 46,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 47,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 48,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 49,,unknown,not analyzed,
Das ist der Fragetext 50,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 51,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 52,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 53,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 54,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 55,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 56,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 57,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 58,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 59,gut strukturierte LV,no,not analyzed,
