RLVKEY;SEMESTER;TYP;STUNDEN;CREDITS;LV_STATUS_NR;LV_STATUS;KOMPONENTEN_TYP;FRAGE_TYP;FRAGETEXT;OPTIONEN;ANTWORT;OPTIONNR;FREITEXT
ca76fca5fb653f5;17S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 1;n/a;positiv;-1;gut strukturierte LV
959353896063576;16S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 2;n/a;negativ;-2;sehr interessante Themen
a53e6669754588d;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 3;n/a;;-1;auf Studierende eingegangen
959353896063576;19S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 4;n/a;negativ;-1;sehr interessante Themen
757aeb0f3e66c44;20W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 5;n/a;;-1;
a53e6669754588d;17S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 6;n/a;positiv;-1;gut strukturierte LV
959353896063576;17S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 7;n/a;negativ;-2;
959353896063576;18W;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 8;n/a;neutral;-2;sympathischer LV-Leiter
a53e6669754588d;19S;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 9;n/a;negativ;-2;
959353896063576;16S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 10;n/a;positiv;-1;sehr interessante Themen
757aeb0f3e66c44;19S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 11;n/a;positiv;-2;
a53e6669754588d;16S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 12;n/a;;-1;
277f6a00a09fc6d;16S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 13;n/a;positiv;-2;auf Studierende eingegangen
959353896063576;16S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 14;n/a;neutral;-2;auf Studierende eingegangen
959353896063576;20W;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 15;n/a;;-1;sympathischer LV-Leiter
277f6a00a09fc6d;17S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 16;n/a;;-2;auf Studierende eingegangen
959353896063576;18W;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 17;n/a;negativ;-2;sehr interessante Themen
757aeb0f3e66c44;20W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 18;n/a;negativ;-2;sehr interessante Themen
a53e6669754588d;19S;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 19;n/a;;-2;auf Studierende eingegangen
277f6a00a09fc6d;19S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 20;n/a;positiv;-2;sympathischer LV-Leiter
277f6a00a09fc6d;17S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 21;n/a;;-2;
959353896063576;16S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 22;n/a;neutral;-1;sehr interessante Themen
974e077c94dfc81;19S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 23;n/a;;-1;gut strukturierte LV
277f6a00a09fc6d;19S;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 24;n/a;neutral;-2;auf Studierende eingegangen
a53e6669754588d;20W;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 25;n/a;;-2;gut strukturierte LV
ca76fca5fb653f5;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 26;n/a;neutral;-1;sympathischer LV-Leiter
757aeb0f3e66c44;18W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 27;n/a;negativ;-2;gut strukturierte LV
974e077c94dfc81;16S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 28;n/a;;-1;
757aeb0f3e66c44;16S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 29;n/a;neutral;-2;sehr interessante Themen
959353896063576;18W;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 30;n/a;negativ;-1;sympathischer LV-Leiter
a53e6669754588d;16S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 31;n/a;positiv;-1;sehr interessante Themen
757aeb0f3e66c44;20W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 32;n/a;neutral;-1;sehr interessante Themen
959353896063576;16S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 33;n/a;positiv;-1;gut strukturierte LV
757aeb0f3e66c44;19S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 34;n/a;;-1;auf Studierende eingegangen
757aeb0f3e66c44;20W;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 35;n/a;positiv;-1;sehr interessante Themen
959353896063576;16S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 36;n/a;positiv;-2;gut strukturierte LV
757aeb0f3e66c44;19S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 37;n/a;negativ;-1;sehr interessante Themen
757aeb0f3e66c44;16S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 38;n/a;positiv;-1;auf Studierende eingegangen
ca76fca5fb653f5;17S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 39;n/a;positiv;-2;sympathischer LV-Leiter
974e077c94dfc81;17S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 40;n/a;negativ;-1;
277f6a00a09fc6d;19S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 41;n/a;neutral;-1;
757aeb0f3e66c44;17S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 42;n/a;positiv;-2;auf Studierende eingegangen
277f6a00a09fc6d;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 43;n/a;positiv;-2;sehr interessante Themen
a53e6669754588d;18W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 44;n/a;negativ;-2;sehr interessante Themen
974e077c94dfc81;18W;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 45;n/a;;-2;
974e077c94dfc81;18W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 46;n/a;negativ;-1;auf Studierende eingegangen
974e077c94dfc81;18W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 47;n/a;;-1;
ca76fca5fb653f5;17S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 48;n/a;positiv;-2;
959353896063576;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 49;n/a;positiv;-1;sympathischer LV-Leiter
a53e6669754588d;19S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 50;n/a;;-2;sehr interessante Themen
959353896063576;17S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 51;n/a;negativ;-2;auf Studierende eingegangen
277f6a00a09fc6d;18W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 52;n/a;positiv;-2;auf Studierende eingegangen
959353896063576;19S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 53;n/a;;-1;sympathischer LV-Leiter
a53e6669754588d;20W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 54;n/a;neutral;-2;gut strukturierte LV
757aeb0f3e66c44;16S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 55;n/a;;-2;
757aeb0f3e66c44;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 56;n/a;neutral;-1;
974e077c94dfc81;16S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 57;n/a;;-1;
277f6a00a09fc6d;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 58;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;20W;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 59;n/a;positiv;-2;
757aeb0f3e66c44;19S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 60;n/a;neutral;-1;auf Studierende eingegangen
974e077c94dfc81;18W;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 61;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;20W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 62;n/a;;-1;auf Studierende eingegangen
974e077c94dfc81;17S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 63;n/a;negativ;-1;gut strukturierte LV
959353896063576;18W;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 64;n/a;neutral;-2;auf Studierende eingegangen
ca76fca5fb653f5;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 65;n/a;neutral;-1;gut strukturierte LV
ca76fca5fb653f5;20W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 66;n/a;neutral;-1;sehr interessante Themen
959353896063576;18W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 67;n/a;negativ;-2;sehr interessante Themen
ca76fca5fb653f5;20W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 68;n/a;negativ;-1;auf Studierende eingegangen
757aeb0f3e66c44;17S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 69;n/a;negativ;-1;sehr interessante Themen
277f6a00a09fc6d;19S;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 70;n/a;;-2;
ca76fca5fb653f5;16S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 71;n/a;positiv;-1;
277f6a00a09fc6d;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 72;n/a;;-2;sehr interessante Themen
959353896063576;20W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 73;n/a;negativ;-1;gut strukturierte LV
974e077c94dfc81;19S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 74;n/a;neutral;-2;gut strukturierte LV
757aeb0f3e66c44;17S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 75;n/a;neutral;-2;sehr interessante Themen
757aeb0f3e66c44;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 76;n/a;positiv;-2;auf Studierende eingegangen
757aeb0f3e66c44;19S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 77;n/a;positiv;-1;auf Studierende eingegangen
277f6a00a09fc6d;18W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 78;n/a;positiv;-2;gut strukturierte LV
277f6a00a09fc6d;19S;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 79;n/a;negativ;-2;gut strukturierte LV
974e077c94dfc81;16S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 80;n/a;;-2;sympathischer LV-Leiter
277f6a00a09fc6d;18W;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 81;n/a;;-1;
757aeb0f3e66c44;19S;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 82;n/a;positiv;-1;
757aeb0f3e66c44;16S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 83;n/a;neutral;-1;sehr interessante Themen
757aeb0f3e66c44;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 84;n/a;neutral;-1;auf Studierende eingegangen
ca76fca5fb653f5;18W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 85;n/a;neutral;-1;
a53e6669754588d;16S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 86;n/a;negativ;-2;sehr interessante Themen
757aeb0f3e66c44;18W;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 87;n/a;neutral;-1;sehr interessante Themen
a53e6669754588d;17S;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 88;n/a;neutral;-2;
ca76fca5fb653f5;18W;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 89;n/a;;-2;
959353896063576;18W;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 90;n/a;positiv;-1;
974e077c94dfc81;19S;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 91;n/a;positiv;-1;sympathischer LV-Leiter
959353896063576;17S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 92;n/a;positiv;-1;sehr interessante Themen
277f6a00a09fc6d;17S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 93;n/a;;-2;auf Studierende eingegangen
959353896063576;16S;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 94;n/a;positiv;-1;gut strukturierte LV
757aeb0f3e66c44;18W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 95;n/a;positiv;-2;sehr interessante Themen
974e077c94dfc81;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 96;n/a;negativ;-1;auf Studierende eingegangen
959353896063576;20W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 97;n/a;neutral;-1;sehr interessante Themen
ca76fca5fb653f5;19S;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 98;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;17S;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 99;n/a;neutral;-2;gut strukturierte LV
959353896063576;20W;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 100;n/a;;-2;gut strukturierte LV
277f6a00a09fc6d;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 101;n/a;;-1;
959353896063576;16S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 102;n/a;negativ;-2;auf Studierende eingegangen
277f6a00a09fc6d;18W;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 103;n/a;negativ;-1;
277f6a00a09fc6d;18W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 104;n/a;negativ;-1;sehr interessante Themen
